Year,Number of Reported Pertussis Cases,Data Status
1922,"107,473",Finalized
1923,"164,191",Finalized
1924,"165,418",Finalized
1925,"152,003",Finalized
1926,"202,210",Finalized
1927,"181,411",Finalized
1928,"161,799",Finalized
1929,"197,371",Finalized
1930,"166,914",Finalized
1931,"172,559",Finalized
1932,"215,343",Finalized
1933,"179,135",Finalized
1934,"265,269",Finalized
1935,"180,518",Finalized
1936,"147,237",Finalized
1937,"214,652",Finalized
1938,"227,319",Finalized
1939,"103,188",Finalized
1940,"183,866",Finalized
1941,"222,202",Finalized
1942,"191,383",Finalized
1943,"191,890",Finalized
1944,"109,873",Finalized
1945,"133,792",Finalized
1946,"109,860",Finalized
1947,"156,517",Finalized
1948,"74,715",Finalized
1949,"69,479",Finalized
1950,"120,718",Finalized
1951,"68,687",Finalized
1952,"45,030",Finalized
1953,"37,129",Finalized
1954,"60,886",Finalized
1955,"62,786",Finalized
1956,"31,732",Finalized
1957,"28,295",Finalized
1958,"32,148",Finalized
1959,"40,005",Finalized
1960,"14,809",Finalized
1961,"11,468",Finalized
1962,"17,749",Finalized
1963,"17,135",Finalized
1964,"13,005",Finalized
1965,"6,799",Finalized
1966,"7,717",Finalized
1967,"9,718",Finalized
1968,"4,810",Finalized
1969,"3,285",Finalized
1970,"4,249",Finalized
1971,"3,036",Finalized
1972,"3,287",Finalized
1973,"1,759",Finalized
1974,"2,402",Finalized
1975,"1,738",Finalized
1976,"1,010",Finalized
1977,"2,177",Finalized
1978,"2,063",Finalized
1979,"1,623",Finalized
1980,"1,730",Finalized
1981,"1,248",Finalized
1982,"1,895",Finalized
1983,"2,463",Finalized
1984,"2,276",Finalized
1985,"3,589",Finalized
1986,"4,195",Finalized
1987,"2,823",Finalized
1988,"3,450",Finalized
1989,"4,157",Finalized
1990,"4,570",Finalized
1991,"2,719",Finalized
1992,"4,083",Finalized
1993,"6,586",Finalized
1994,"4,617",Finalized
1995,"5,137",Finalized
1996,"7,796",Finalized
1997,"6,564",Finalized
1998,"7,405",Finalized
1999,"7,298",Finalized
2000,"7,867",Finalized
2001,"7,580",Finalized
2002,"9,771",Finalized
2003,"11,647",Finalized
2004,"25,827",Finalized
2005,"25,616",Finalized
2006,"15,632",Finalized
2007,"10,454",Finalized
2008,"13,278",Finalized
2009,"16,858",Finalized
2010,"27,550",Finalized
2011,"18,719",Finalized
2012,"48,277",Finalized
2013,"28,639",Finalized
2014,"32,971",Finalized
2015,"20,762",Finalized
2016,"17,972",Finalized
2017,"18,975",Finalized
2018,"15,609",Finalized
2019,"18,617",Finalized
2020,"6,124",Finalized
2021,"2,116",Finalized
2022,"3,044",Finalized
2023,"7,063",Finalized
2024,"43,321",Provisional
2025,"28,783",Provisional
